year_built,property_id,lot_sqft,sqft,baths,garages,beds,city,recreation_facilities,single_story,garage_1_or_more,hardwood_floors,dining_room,community_security_features,garage_2_or_more,two_or_more_stories,forced_air,shopping,central_air,basement,community_outdoor_space,dishwasher,fireplace,washer_dryer
2001,3066753611,3825,1232,2,0,3,679592.8523411672,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
1960,3073701125,9017,1826,2,0,3,168798.8300497242,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1
1957,3155941283,7405,3006,2,0,6,358215.94070645963,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
1920,9854846016,4356,4496,4,0,9,358215.94070645963,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1973,1851229398,7405,1956,2,2,3,532575.9251274393,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1
1961,6733880736,19115,1713,2,0,3,899684.7992089129,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1
1905,9293547852,3600,4408,4,1,11,1620605.566436008,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1
1957,1338419336,30300,2238,2,2,2,495973.3704267919,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0
1955,3066968768,19166,900,2,3,2,152636.0884458453,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
2007,4142687099,6970,1455,2,2,3,234192.1707274125,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0
1952,8502336490,7614,924,1,1,2,262575.01710244524,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1956,6204334109,13068,2046,2,0,4,544855.9814078703,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1
1952,1573669785,14375,1793,2,2,4,420207.8532951932,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
1977,6570263286,40946,1865,2,0,4,315159.1268387802,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1
2003,5132945720,71003,4443,5,3,4,621575.4363712235,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0
1953,4248840313,12197,1177,1,2,2,260039.7894339016,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,1
1986,2260911850,10659,1440,2,2,2,495973.3704267919,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0
2000,7785709635,8712,2340,3,2,4,301804.4686227,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0
1963,7997775745,7440,1628,2,1,4,262575.01710244524,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1994,4138728469,8843,2884,3,2,4,306752.632479663,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0
1950,1044663436,5998,1781,2,2,4,545607.6570640807,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0
2019,6650570381,10181,1965,3,0,3,321857.4254205781,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1
2017,1840285103,50965,2573,5,9,3,532575.9251274393,1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0
