year_built,property_id,sold_date,lot_sqft,sqft,baths,garages,beds,city,recreation_facilities,single_story,garage_1_or_more,hardwood_floors,dining_room,community_security_features,garage_2_or_more,two_or_more_stories,forced_air,shopping,central_air,basement,community_outdoor_space,dishwasher,fireplace,washer_dryer
2015,1305531574,2023-10-31,3435,3871,5,2,5,Denver,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
1961,6733880736,2024-01-08,19115,1713,2,0,3,Annapolis,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1
1984,4153783118,2024-01-09,436,1540,3,0,2,Albany,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1
2019,9688234273,2024-01-09,1307,2740,4,2,3,Sandy Springs,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1
1943,4703771872,2023-12-21,4792,1042,1,0,4,Hartford,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1922,8600539097,2024-01-08,6621,1078,2,1,2,Des Moines,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,1
1970,6378704970,2024-01-10,22651,2590,2,0,3,Tallahassee,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1920,4054897953,2024-01-12,2404,1052,1,0,3,Boston,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
1968,7307257977,2024-01-02,18731,2556,2,0,3,Montgomery,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2020,9678401203,2023-08-01,7405,1878,2,2,3,Elgin,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0
2014,6057968770,2024-01-10,1002,2140,4,2,3,Sandy Springs,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0
1960,7392900615,2024-01-12,9101,1634,2,2,3,Lincoln,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0
1974,7185679749,2024-01-08,7808,2086,2,2,3,Lincoln,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1
1969,8053708531,2024-01-12,8985,2740,3,2,4,Lincoln,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0
2006,5416057256,2024-01-11,37292,1728,3,1,4,Henrico,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1
1954,5646512321,2024-01-10,8712,964,1,1,2,Columbia,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0
1940,4479931465,2024-01-08,4792,812,1,0,2,Lansing,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
1930,6758116193,2023-12-20,10890,1149,1,0,3,Columbia,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
1920,8614963827,2023-11-10,4033,1359,2,0,2,Springfield,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
1967,1520882532,2023-12-26,6810,1576,2,0,3,Phoenix,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1910,5157172037,2023-12-18,1612,1358,2,0,4,Trenton,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
1947,6854520038,2023-12-21,8030,1526,2,0,3,Annapolis,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,0
2004,1553861974,2024-01-08,4791,1276,2,2,3,Salem,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0
2005,5208882615,2023-12-28,4678,1734,3,1,3,Dover,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
