,year_built,permalink,list_price,property_id,listing,primary_photo,sold_date,sold_price,lot_sqft,sqft,baths,garages,beds,postal_code,state,city,recreation_facilities,single_story,garage_1_or_more,hardwood_floors,dining_room,community_security_features,garage_2_or_more,two_or_more_stories,forced_air,shopping,central_air,basement,community_outdoor_space,dishwasher,fireplace,washer_dryer
99,1989,9719-Rosalie-Dr_Montgomery_AL_36117_M80733-35883,420000.0,8073335883,2958470414,https://ap.rdcpix.com/2ac61710111ba698b9acd456826038b7l-m1097976753s-w1024_h768.jpg,2024-01-05,310000.0,22651,3137,3,0,4,36117,Alabama,Montgomery,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0
100,2001,8087-Ansley-Trce_Montgomery_AL_36117_M84265-16593,249000.0,8426516593,2960634023,https://ap.rdcpix.com/f889213d9dfd57b59f59fa63154356b7l-m3228417647s-w1024_h768.jpg,2024-01-05,245000.0,6534,1742,2,2,3,36117,Alabama,Montgomery,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0
101,1950,256-Perry-Hill-Rd_Montgomery_AL_36109_M70561-13344,105000.0,7056113344,2959876046,https://ap.rdcpix.com/8d3b70ca02d22b97f9e669584b946e4el-m1202318012s-w1024_h768.jpg,2024-01-05,100000.0,15682,1471,1,0,3,36109,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
102,1971,6212-Hinchcliff-Rd_Montgomery_AL_36117_M79476-55529,95500.0,7947655529,2962219368,https://ap.rdcpix.com/bb6187d68e068cd5dcffe91b8d3d66efl-m700922381s-w1024_h768.jpg,2024-01-05,95900.0,10664,1200,2,0,3,36117,Alabama,Montgomery,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0
104,2004,861-Somerset-Dr_Montgomery_AL_36117_M87827-79002,334900.0,8782779002,2962186447,https://ap.rdcpix.com/5a8d93258c6ec619823ff5ac29916241l-m2287927989s-w1024_h768.jpg,2024-01-04,320000.0,9583,2488,2,2,3,36117,Alabama,Montgomery,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0
105,1971,3223-Babette-Cir_Montgomery_AL_36116_M71524-86220,119900.0,7152486220,2960272346,https://ap.rdcpix.com/47d091afe9a414d8ecf363fa8627f13cl-m2264284966s-w1024_h768.jpg,2024-01-04,120000.0,10019,1747,2,0,3,36116,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
106,1994,2349-Brookstone-Dr_Montgomery_AL_36117_M71940-45969,289900.0,7194045969,2961543302,https://ap.rdcpix.com/22dae1c10863474a4ec207164c4ddb23l-m177292656s-w1024_h768.jpg,2024-01-03,283000.0,13747,2069,2,2,4,36117,Alabama,Montgomery,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0
107,1994,8332-Old-Federal-Rd_Montgomery_AL_36117_M75589-16813,289900.0,7558916813,2961717690,https://ap.rdcpix.com/debca25133b4644c07a1918f7fedc190l-m1318092139s-w1024_h768.jpg,2024-01-02,284500.0,15682,2124,2,0,4,36117,Alabama,Montgomery,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0
108,1989,4040-Chambers-Pl_Montgomery_AL_36109_M75323-34823,175000.0,7532334823,2961447588,https://ap.rdcpix.com/2762acb72eebcf86d50c80a800262278l-m2519535199s-w1024_h768.jpg,2024-01-02,160000.0,4792,1475,2,0,2,36109,Alabama,Montgomery,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0
109,2022,7107-Fain-Park-Dr_Montgomery_AL_36117_M97024-16423,439900.0,9702416423,2959892239,https://ap.rdcpix.com/edcb73416e181a3c9b2c85d6a6a6f387l-m2382958776s-w1024_h768.jpg,2024-01-02,439900.0,4356,3050,4,2,4,36117,Alabama,Montgomery,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0
110,1968,201-Eagerton-Rd_Montgomery_AL_36116_M73072-57977,101200.0,7307257977,2959976130,https://ap.rdcpix.com/1b57dd0074430e3f535b27b6b771d69el-m3916576073s-w1024_h768.jpg,2024-01-02,68250.0,18731,2556,2,0,3,36116,Alabama,Montgomery,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
111,1987,8148-Lichfield-Ct_Montgomery_AL_36117_M74353-05681,399000.0,7435305681,2957848730,https://ap.rdcpix.com/362a01e96e6225db96d00c15968792cfl-m48857310s-w1024_h768.jpg,2024-01-02,385000.0,29621,3288,4,2,4,36117,Alabama,Montgomery,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0
